,Unnamed: 0,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
567792,567792,80,6,5084352,4,4,375,972,375,0,93.89686036860536,187.79372073721072,972,0,243.0,486.0,265.04608701224214,1.5734549853432709,726336.0921745371,1886015.3259700227,5002881,5,81471,27157.182,46308.59900844527,80628,118,5084346,1694782.242577823,2865432.294562746,5003180,845,0,136,136,0.7867274926716353,0.7867274926716353,0,972,149.73193794159312,332.4372545338164,110514.8967225676,0,0,0,1,0,0,0,168.44843,93.89686,243.0,4,375,4,972,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,6
882854,882854,80,6,56516055,153,104,54995,72483,646,0,359.4444444444,271.4171844443,1068,0,696.9611627214582,368.2051985113135,2255.623861878441,4.547380443589989,220765.83999928148,414860.4189185368,1139154,6,56514385,371805.2,483938.706653536,1139154,361,56516048,548699.4978645319,556627.8092506243,1195784,27,0,3072,2092,2.707195361391705,1.8401850821982837,0,1068,494.1044997016805,355.3914077028362,126303.0529294346,0,0,1,1,0,0,1,496.0271,359.44446,696.9611,153,54995,104,72483,8192,1228,101,20,0.0,0.0,0,0,0.0,0.0,0,0,9
292487,292487,22,6,19,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,105263.157894737,19.0,0.0,19,19,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,52631.5789473684,52631.5789473684,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0.0,0.0,0.0,1,0,1,0,241,230,0,32,0.0,0.0,0,0,0.0,0.0,0,0,3
883726,883726,80,6,56232107,153,104,54995,72494,646,0,359.4444444444,271.4171844443,1068,0,697.065699966647,368.3093715523796,2267.207075774739,4.570342635750558,219656.67128531184,413000.52909247467,1108701,5,56230358,369936.56,481831.3847551509,1108701,289,56232102,545942.7458366272,554634.8828742722,1161632,34,0,3072,2092,2.7208654602551348,1.8494771755926365,0,1068,494.14663874624455,355.45881305241016,126350.96781425856,0,0,1,1,0,0,1,496.0694,359.44446,697.06573,153,54995,104,72494,8192,1228,101,20,0.0,0.0,0,0,0.0,0.0,0,0,9
345847,345847,80,6,20166,3,4,313,935,313,0,104.3333333,180.7106343,935,0,233.75,467.5,61886.34335,347.118913,3361.0,5104.773256,10655,3,10951,5475.5,7324.919146,10655,296,20163,6721.0,5867.940951,10951,22,0,72,92,148.7652484,198.3536646,0,935,156.0,333.2750901,111072.2857,0,0,1,1,0,0,1,178.28572,104.333336,233.75,3,313,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,4
724676,724676,80,17,119929726,-29696,0,3244029,0,32,32,32.0,0.0,0,0,0.0,0.0,27049.42167689452,845.2944273419595,1183.0357429247692,23942.854488515277,680179,0,120000000,1183.0358,23942.854488515277,680179,0,0,0.0,0.0,0,0,0,811007,0,845.2944273419595,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,32.000317,32.0,0.0,-29696,3244029,0,0,-1,-1,-29697,8,0.0,0.0,0,0,0.0,0.0,0,0,8
379068,379068,80,6,37964,3,4,314,935,314,0,104.6666667,181.2879845,935,0,233.75,467.5,32899.58908,184.385207,6327.333333,10789.00723,26333,2,11603,5801.5,7841.107097,11346,257,37962,12654.0,13185.39309,26333,25,0,72,92,79.02223159,105.3629755,0,935,156.125,333.3425683,111117.2679,0,0,1,1,0,0,1,178.42857,104.666664,233.75,3,314,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,4
394448,394448,80,6,25623,3,4,315,935,315,0,105.0,181.8653348,935,0,233.75,467.5,48784.29536,273.192054,4270.5,6501.957113,12667,3,12939,6469.5,8764.588553,12667,272,25618,8539.333333,7378.393073,12937,21,0,72,92,117.0823089,156.1097452,0,935,156.25,333.4104078,111162.5,0,0,1,1,0,0,1,178.57143,105.0,233.75,3,315,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,4
1097815,1097815,80,6,5156840,4,5,489,3778,489,0,116.68057329393125,238.65308229171492,2920,0,755.7021159106716,1278.4161580602731,826.4603137603101,1.7958717676917344,627048.3508529596,1731680.6954796126,4989827,12,167013,54138.016,87742.18792916354,157404,748,5156813,1289203.44470949,2477932.131026522,5004289,223,0,97,112,0.8260473178117326,0.9698244498800018,0,2920,418.6820446372395,922.25076244795,851367.7852462016,0,0,1,1,0,0,1,464.30417,116.68057,755.70215,4,489,5,3778,8192,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,11
190263,190263,21,6,2,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,2
949885,949885,80,6,557,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3589.1031880759374,557.3809442455132,0.0,557,557,557,557.3809,0.0,557,557,0,0.0,0.0,0,0,0,40,0,3589.1031880759374,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,2,0,0,0,2053,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,10
